Les Miserables,1664
"The Memoirs of Jacques Casanova de Seingalt, 1725-1798. Complete",1614
Essays of Michel de Montaigne,1532
"A System of Logic, Ratiocinative and Inductive",1485
"Studies in the Psychology of Sex, Volume 6",1319
The Complete Poetical Works of Percy Bysshe Shelley — Volume 1,1174
Jerusalem Delivered,1057
The Odyssey,1042
"History of Tom Jones, a Foundling",983
Gargantua and Pantagruel,970
Susan Lenox: Her Fall and Rise,939
Emile,901
On the Origin of Species By Means of Natural Selection,888
Ulysses,865
The Delights of Wisdom Pertaining to Conjugial Love,850
"The ""Genius""",809
Notre-Dame de Paris,803
"Studies in the Psychology of Sex, Volume 1",783
"Studies in the Psychology of Sex, Volume 3",764
"Studies in the Psychology of Sex, Volume 2",740
The Rainbow,736
"An Essay Concerning Humane Understanding, Volume 1",688
Salammbo,661
First Footsteps in East Africa,652
Leaves of Grass,649
"Studies in the Psychology of Sex, Volume 5",612
"Studies in the Psychology of Sex, Volume 4",611
The Complete Plays of Gilbert and Sullivan,594
Women in Love,590
"Pamela, or Virtue Rewarded",588
Tales and Novels of J. de La Fontaine — Complete,586
The Complete Poetical Works of Percy Bysshe Shelley — Volume 3,585
"An Essay Concerning Humane Understanding, Volume 2",585
Sons and Lovers,584
"The History of Don Quixote, Volume 1, Complete",583
"Sinister Street, vol. 2",575
Sister Carrie,569
"The Decameron, Volume II",567
Adam Bede,563
"The Decameron, Volume I",521
Uncle Tom's Cabin,519
"The History of Don Quixote, Volume 2, Complete",512
The Jungle,503
Paradise Lost,496
A Mummer's Wife,494
Esther Waters,493
"Corinne; Or, Italy. Volume 1 (of 2)",488
The Fortunate Mistress (Parts 1 and 2),485
Madame Bovary,474
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,471
"The Prose Works of Jonathan Swift, D.D. — Volume 06",460
The Advancement of Learning,449
Poems & Ballads (First Series),441
Adventures of Huckleberry Finn,435
The Child of Pleasure,434
"The History of the Devil, As Well Ancient as Modern: In Two Parts",432
The Commercial Restraints of Ireland,430
The Loom of Youth,427
Tess of the d'Urbervilles: A Pure Woman,402
Dante. An essay. To which is added a translation of De Monarchia.,393
Voltaire's Philosophical Dictionary,392
The Prose Writings of Heinrich Heine,388
The Golden Asse,386
The Adventures of Sherlock Holmes,378
"The Works of Christopher Marlowe, Vol. 3 (of 3)",372
"Une Vie, a Piece of String and Other Stories",371
The Scarlet Letter,360
Jude the Obscure,358
The Critique of Practical Reason,358
Memoirs of Fanny Hill,357
"The Writings of Thomas Paine,  Volume 4 (1794-1796): The Age of Reason",340
The Kama Sutra of Vatsyayana,320
"The Dramas of Victor Hugo: Mary Tudor, Marion de Lorme, Esmeralda",305
"Religio Medici, Hydriotaphia, and the Letter to a Friend",295
Jurgen: A Comedy of Justice,289
"The Adventures of Tom Sawyer, Complete",276
Dubliners,274
Napoleon the Little,270
"Émile; Or, Concerning Education; Extracts",264
The Prince,260
The Satyricon,249
"The Works of Henry Fielding, vol. 12",249
"The Poetical Works of Elizabeth Barrett Browning, Volume 4",243
The Kreutzer Sonata and Other Stories,242
Poems & Ballads (Second Series),234
"The Awakening, and Selected Short Stories",227
"The Temptation of St. Antony; Or, A Revelation of the Soul",221
Three Weeks,215
A Tale of a Tub,207
The Robbers,187
Poems and Ballads (Third Series),187
Man and Superman: A Comedy and a Philosophy,185
The Call of the Wild,175
Faust [part 1]. Translated Into English in the Original Metres,174
Alice's Adventures in Wonderland,167
The Praise of Folly,164
Casanova's Homecoming,163
The Shewing-up of Blanco Posnet,161
The Analects of Confucius (from the Chinese Classics),157
The Sorrows of Young Werther,157
"The Chinese Classics, Volume 1: Confucian Analects",156
In Praise of Folly,147
A Sentimental Journey Through France and Italy,142
The Backwash of War,140
The Merchant of Venice,140
Mrs. Warren's Profession,136
Candide,136
A Mummer's Tale,130
Richard II,111
King Lear,106
Ghosts,105
"Rosamund, Queen of the Lombards: A Tragedy",102
The History of the Decline and Fall of the Roman Empire,96
The Communist Manifesto,92
Areopagitica,88
The Birds,85
"Tartuffe; Or, The Hypocrite",84
The Clouds,80
Mademoiselle Fifi,66
Lysistrata,64
The Bickerstaff-Partridge Papers,64
Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,51
Family Limitation,41
The Sex Side of Life: An Explanation for Young People,1
"The Chinese Classics: with a translation, critical and exegetical notes, prolegomena and copious indexes",1
Gulliver's Travels into Several Remote Nations of the World,1
"Sinister Street, vol. 1",1
Pascal's Pensees,1
Principles of Political Economy,1
