corpus,token_,count,p_value,obs/exp
King Lear,project,35,0.020062504137882197,1.8421052631578947
King Lear,etext,35,5.328734375217726e-10,35.0
King Lear,king,65,6.5647910244561555e-12,7.222222222222222
King Lear,take,63,4.8306204453666665e-06,2.8636363636363638
King Lear,now,74,0.0026352571530534083,1.7209302325581395
King Lear,better,30,0.006840720729309133,2.3076923076923075
King Lear,may,72,0.002255966836136685,1.7560975609756098
King Lear,will,123,5.787275154431586e-05,1.7826086956521738
King Lear,away,36,0.009886854654766804,2.0
King Lear,good,77,7.088785461723073e-05,2.138888888888889
King Lear,o,69,6.683514172830687e-13,7.666666666666667
King Lear,go,44,0.020630539727956494,1.6923076923076923
King Lear,know,74,7.344390997616057e-05,2.176470588235294
King Lear,tell,31,0.012916909724056905,2.066666666666667
King Lear,father,58,1.102976967241734e-08,4.833333333333333
King Lear,come,76,2.4747618174457273e-06,2.6206896551724137
King Lear,make,48,0.010106285501216098,1.7777777777777777
King Lear,enter,104,1.5661792461348433e-26,26.0
King Lear,kent,133,7.809420978194991e-41,Inf
King Lear,lord,94,1.346445525759247e-18,9.4
King Lear,sir,96,4.085552283691833e-19,9.6
King Lear,hath,49,1.9118913268696743e-10,9.8
King Lear,yet,49,0.0022995869693929172,2.0416666666666665
King Lear,shall,88,4.795780194128439e-09,3.259259259259259
King Lear,tis,49,8.962784625082756e-10,8.166666666666666
King Lear,daughters,27,1.0738659154042413e-07,27.0
King Lear,nature,34,0.0015375857599523137,2.6153846153846154
King Lear,thee,130,1.510790828543379e-26,10.833333333333334
King Lear,daughter,27,5.6292651633535525e-05,5.4
King Lear,sister,29,1.2703152123647939e-06,9.666666666666666
King Lear,heart,42,0.0002284667687039582,2.8
King Lear,thy,151,1.4284013961814977e-30,10.785714285714286
King Lear,let,72,5.071066760977945e-08,3.4285714285714284
King Lear,night,30,0.011287350765673625,2.142857142857143
King Lear,well,60,0.004743082630505047,1.7647058823529411
King Lear,thou,195,3.8069150189472765e-39,10.833333333333334
King Lear,th,28,9.601037744905619e-06,7.0
King Lear,old,45,0.003353986677416744,2.0454545454545454
King Lear,gods,26,7.582429719330037e-06,8.666666666666666
King Lear,art,40,1.6373809136751955e-06,5.0
King Lear,pray,25,1.366133302535304e-05,8.333333333333334
King Lear,madam,31,6.49355844756173e-08,15.5
King Lear,fellow,27,1.6896602415004052e-05,6.75
King Lear,stew,25,2.9638018571502953e-08,Inf
King Lear,edmund,25,2.9638018571502953e-08,Inf
King Lear,corn,39,3.680857853167689e-11,39.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,project,92,0.023139672073420933,1.393939393939394
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,may,201,0.001826324886549564,1.3767123287671232
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,language,25,0.023504950260082456,2.0833333333333335
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,english,93,8.645298513892119e-16,6.642857142857143
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,produced,26,0.016767522841292105,2.1666666666666665
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,m,51,0.0043790615470408155,1.8888888888888888
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,part,168,2.918531768009564e-12,2.625
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,rights,179,3.482459558066855e-48,44.75
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,man,316,1.3312754001886228e-09,1.726775956284153
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,mr,276,2.2317674100873895e-39,5.52
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,french,118,2.2845805020065828e-23,9.833333333333334
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,revolution,126,8.28800593343057e-33,31.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,principle,65,2.5570546511566958e-11,6.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,practice,35,7.533468204882542e-06,5.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,la,28,0.03298189532527088,1.8666666666666667
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,society,80,1.0481702386397221e-12,5.714285714285714
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,origin,32,3.706876500075508e-06,6.4
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,present,83,1.9200809074515235e-06,2.515151515151515
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,governments,156,3.232656068532467e-44,78.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,new,97,4.357602217691352e-05,1.9795918367346939
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,government,524,2.376909193703694e-138,43.666666666666664
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,constitutions,29,2.8813894051567583e-08,29.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,means,79,7.932689413527083e-07,2.7241379310344827
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,condition,63,7.026566861333581e-09,4.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,europe,69,9.076456561307872e-16,13.8
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,america,113,4.482497755312936e-29,28.25
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,france,207,2.3226596137212744e-48,18.818181818181817
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,world,116,4.523838730138623e-05,1.8412698412698412
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,minister,30,3.0771592551425722e-06,7.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,paris,51,5.03112557637118e-06,3.4
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,reason,74,0.0036560276560948296,1.6818181818181819
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,england,216,4.9458888976048917e-48,15.428571428571429
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,london,26,0.005661723919666157,2.6
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,parts,71,9.708558097133236e-10,4.4375
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,country,129,1.4413920730033911e-16,4.448275862068965
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,purpose,65,1.8094045259598946e-08,4.0625
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,either,58,0.0012369311493674758,2.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,whatever,50,3.359447715458997e-05,2.9411764705882355
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,four,42,0.024880149831106212,1.68
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,reform,26,2.0828852616164488e-07,26.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,american,31,1.7295192318104027e-06,7.75
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,hereditary,102,9.987940963503549e-30,102.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,constitution,161,6.121197867139549e-43,40.25
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,political,46,2.2208326782845178e-10,11.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,war,76,7.75409369966319e-13,6.333333333333333
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,conquest,29,2.3100745044198964e-07,14.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,kings,25,0.0004385521937631678,4.166666666666667
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,opinion,35,0.008759044296354582,2.0588235294117645
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,republic,25,1.3703513240159088e-05,8.333333333333334
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,appeared,31,0.01293920742590197,2.066666666666667
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,says,51,0.04099325035994111,1.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,year,67,4.576261415557049e-07,3.1904761904761907
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,parliament,110,2.248969681813321e-29,36.666666666666664
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,work,106,0.006558069444077762,1.4722222222222223
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,shillings,30,1.229232322254632e-07,15.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,will,360,1.6173188898219442e-06,1.469387755102041
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,representative,28,5.577669840581367e-08,28.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,character,79,4.9214559003120854e-11,4.647058823529412
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,two,153,0.01642659641763675,1.3076923076923077
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,men,130,0.01667149386123615,1.3402061855670102
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,freedom,35,2.092791433863818e-05,4.375
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,proposed,31,1.7295192318104027e-06,7.75
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,people,146,2.993617134632613e-10,2.5172413793103448
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,support,44,2.0129474728694828e-07,5.5
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,foreign,40,3.926870834527515e-08,8.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,king,92,1.6426390654263713e-08,2.967741935483871
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,right,196,1.98494344714375e-20,3.6296296296296298
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,mankind,40,1.6482950417099465e-06,5.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,order,48,0.03555261411378837,1.5483870967741935
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,act,67,9.646870496262073e-08,3.526315789473684
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,principles,138,3.947092248355147e-31,15.333333333333334
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,produce,41,2.7996688315318687e-06,4.555555555555555
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,congress,27,1.0784960647196349e-07,27.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,interest,97,9.259945672941751e-17,6.928571428571429
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,peace,29,0.0057495415024337556,2.4166666666666665
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,number,57,2.7761388396169804e-05,2.7142857142857144
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,taken,66,0.0005908985365379777,2.0
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,can,211,2.5528341432778755e-05,1.5629629629629629
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,form,79,4.181489705900033e-07,2.8214285714285716
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,every,191,3.461726259668572e-12,2.4177215189873418
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,liberty,38,7.085184453018384e-05,3.4545454545454546
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,ground,50,0.00012189172963234306,2.6315789473684212
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,case,87,2.407849391163782e-06,2.4166666666666665
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,human,48,0.014297621427033506,1.7142857142857142
The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man,universal,31,0.0001468391372184933,3.875
