Author,Author Country of Origin,Modern Country of Origin,Author Lifespan,Title,Subtitle,Release Date,Publication Date,Subject,Language,Copyright Status,Download Link,Gutenberg Link
Arthur Schnitzler,Austria,Austria,1819-1880,Casanova's Homecoming,,"Nov 1, 2005",,Biographical fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/9310.txt.utf-8,https://www.gutenberg.org/ebooks/9310
Confucius,China,China,1561-1626,The Analects of Confucius (from the Chinese Classics),,"Jul 1, 2002",,Ethics -- China,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/3330.txt.utf-8,https://www.gutenberg.org/ebooks/3330
Miguel de Cervantes Saavedra,Crown of Castile,Spain,1835-1910,"The History of Don Quixote, Volume 1, Complete",,"Jul 19, 2004",,Spain -- Social life and customs -- 16th century -- Fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/5921.txt.utf-8,https://www.gutenberg.org/ebooks/5921
Miguel de Cervantes Saavedra,Crown of Castile,Spain,1859-1930,"The History of Don Quixote, Volume 2, Complete",,"Jun 1, 2004",,Spain -- Social life and customs -- 16th century -- Fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/5946.txt.utf-8,https://www.gutenberg.org/ebooks/5946
Friedrich Schiller,Duchy of Württemberg,Germany,1835-1910,The Robbers,,"Dec 8, 2004",,Brothers -- Drama,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/6782.txt.utf-8,https://www.gutenberg.org/ebooks/6782
George Eliot,England,England,1832-1898,Adam Bede,,"Jan 21, 2006",1859,Didactic fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/507.txt.utf-8,https://www.gutenberg.org/ebooks/507
Francis Bacon,England,England,551 BCE-479 BCE,The Advancement of Learning,,"Apr 1, 2004",,Logic -- Early works to 1800,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/5500.txt.utf-8,https://www.gutenberg.org/ebooks/5500
Lewis Carroll,England,England,1608-1674,Alice's Adventures in Wonderland,Illustrated by Arthur Rackham. With a Proem by Austin Dobson,"May 19, 2009",November 1865,Fantasy fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/28885.txt.utf-8,https://www.gutenberg.org/ebooks/28885
John Milton,England,England,1850-1904,Areopagitica,A Speech for the Liberty of Unlicensed Printing to the Parliament of England,"Jan 21, 2006",1644,Freedom of the press -- Early works to 1800,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/608.txt.utf-8,https://www.gutenberg.org/ebooks/608
Percy Bysshe Shelley,England,England,1873-1961,The Complete Poetical Works of Percy Bysshe Shelley — Volume 1,,"Dec 1, 2003",,English poetry,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/4797.txt.utf-8,https://www.gutenberg.org/ebooks/4797
Percy Bysshe Shelley,England,England,1667-1745,The Complete Poetical Works of Percy Bysshe Shelley — Volume 3,,"Dec 1, 2003",,English poetry,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/4799.txt.utf-8,https://www.gutenberg.org/ebooks/4799
John Locke,England,England,446 BCE-385 BCE,"An Essay Concerning Humane Understanding, Volume 1","MDCXC, Based on the 2nd Edition, Books 1 and 2","Jan 1, 2004",,"Knowledge, Theory of -- Early works to 1800",English,Public domain in the USA.,https://www.gutenberg.org/ebooks/10615.txt.utf-8,https://www.gutenberg.org/ebooks/10615
John Locke,England,England,1876-1916,"An Essay Concerning Humane Understanding, Volume 2","MDCXC, Based on the 2nd Edition, Books 3 and 4","Jan 1, 2004",,"Knowledge, Theory of -- Early works to 1800",English,Public domain in the USA.,https://www.gutenberg.org/ebooks/10616.txt.utf-8,https://www.gutenberg.org/ebooks/10616
George Moore,England,England,1694-1778,Esther Waters,,"May 1, 2005",,England -- Fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/8157.txt.utf-8,https://www.gutenberg.org/ebooks/8157
Richard Francis Burton,England,England,1862-1931,First Footsteps in East Africa,,"Nov 1, 2004",,Horn of Africa -- Description and travel,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/6886.txt.utf-8,https://www.gutenberg.org/ebooks/6886
Daniel Defoe,England,England,1863-1938,The Fortunate Mistress (Parts 1 and 2),a History of the Life of Mademoiselle de Beleau Known by the Name of the Lady Roxana,"Oct 27, 2009",,Historical fiction,English,Public domain in the USA.,https://www.gutenberg.org/ebooks/30344.txt.utf-8,https://www.gutenberg.org/ebooks/30344
